kode_kota_kabupaten,nama_kota_kabupaten,penduduk_miskin,tahun
3204,KAB. BANDUNG,9.3,2010
3217,KAB. BANDUNG BARAT,14.68,2010
3216,KAB. BEKASI,6.11,2010
3201,KAB. BOGOR,9.97,2010
3207,KAB. CIAMIS,10.34,2010
3203,KAB. CIANJUR,14.32,2010
3209,KAB. CIREBON,16.12,2010
3205,KAB. GARUT,13.94,2010
3212,KAB. INDRAMAYU,16.58,2010
3215,KAB. KARAWANG,12.21,2010
3208,KAB. KUNINGAN,14.68,2010
3210,KAB. MAJALENGKA,15.52,2010
3218,KAB. PANGANDARAN,,2010
3214,KAB. PURWAKARTA,10.57,2010
3213,KAB. SUBANG,13.54,2010
3202,KAB. SUKABUMI,10.65,2010
3211,KAB. SUMEDANG,12.94,2010
3206,KAB. TASIKMALAYA,12.79,2010
3273,KOTA BANDUNG,4.95,2010
3279,KOTA BANJAR,8.47,2010
3275,KOTA BEKASI,6.3,2010
3271,KOTA BOGOR,9.47,2010
3277,KOTA CIMAHI,7.4,2010
3274,KOTA CIREBON,12.0,2010
3276,KOTA DEPOK,2.84,2010
3272,KOTA SUKABUMI,9.24,2010
3278,KOTA TASIKMALAYA,20.71,2010
3204,KAB. BANDUNG,8.99,2011
3217,KAB. BANDUNG BARAT,14.22,2011
3216,KAB. BEKASI,5.93,2011
3201,KAB. BOGOR,9.65,2011
3207,KAB. CIAMIS,9.98,2011
3203,KAB. CIANJUR,13.82,2011
3209,KAB. CIREBON,15.56,2011
3205,KAB. GARUT,13.47,2011
3212,KAB. INDRAMAYU,16.01,2011
3215,KAB. KARAWANG,11.8,2011
3208,KAB. KUNINGAN,14.2,2011
3210,KAB. MAJALENGKA,14.98,2011
3218,KAB. PANGANDARAN,,2011
3214,KAB. PURWAKARTA,10.22,2011
3213,KAB. SUBANG,13.06,2011
3202,KAB. SUKABUMI,10.28,2011
3211,KAB. SUMEDANG,12.48,2011
3206,KAB. TASIKMALAYA,12.36,2011
3273,KOTA BANDUNG,4.78,2011
3279,KOTA BANJAR,8.21,2011
3275,KOTA BEKASI,6.12,2011
3271,KOTA BOGOR,9.16,2011
3277,KOTA CIMAHI,7.15,2011
3274,KOTA CIREBON,11.56,2011
3276,KOTA DEPOK,2.75,2011
3272,KOTA SUKABUMI,8.95,2011
3278,KOTA TASIKMALAYA,19.98,2011
3204,KAB. BANDUNG,8.32,2012
3217,KAB. BANDUNG BARAT,13.33,2012
3216,KAB. BEKASI,5.25,2012
3201,KAB. BOGOR,8.82,2012
3207,KAB. CIAMIS,9.61,2012
3203,KAB. CIANJUR,13.17,2012
3209,KAB. CIREBON,14.94,2012
3205,KAB. GARUT,12.7,2012
3212,KAB. INDRAMAYU,15.42,2012
3215,KAB. KARAWANG,11.1,2012
3208,KAB. KUNINGAN,13.69,2012
3210,KAB. MAJALENGKA,14.44,2012
3218,KAB. PANGANDARAN,,2012
3214,KAB. PURWAKARTA,9.56,2012
3213,KAB. SUBANG,12.47,2012
3202,KAB. SUKABUMI,9.78,2012
3211,KAB. SUMEDANG,11.85,2012
3206,KAB. TASIKMALAYA,11.75,2012
3273,KOTA BANDUNG,4.55,2012
3279,KOTA BANJAR,7.78,2012
3275,KOTA BEKASI,5.55,2012
3271,KOTA BOGOR,8.47,2012
3277,KOTA CIMAHI,6.67,2012
3274,KOTA CIREBON,11.08,2012
3276,KOTA DEPOK,2.46,2012
3272,KOTA SUKABUMI,8.41,2012
3278,KOTA TASIKMALAYA,18.92,2012
3204,KAB. BANDUNG,7.94,2013
3217,KAB. BANDUNG BARAT,12.92,2013
3216,KAB. BEKASI,5.2,2013
3201,KAB. BOGOR,9.54,2013
3207,KAB. CIAMIS,8.62,2013
3203,KAB. CIANJUR,12.02,2013
3209,KAB. CIREBON,14.65,2013
3205,KAB. GARUT,12.79,2013
3212,KAB. INDRAMAYU,14.99,2013
3215,KAB. KARAWANG,10.69,2013
3208,KAB. KUNINGAN,13.34,2013
3210,KAB. MAJALENGKA,14.07,2013
3218,KAB. PANGANDARAN,,2013
3214,KAB. PURWAKARTA,9.28,2013
3213,KAB. SUBANG,12.35,2013
3202,KAB. SUKABUMI,9.24,2013
3211,KAB. SUMEDANG,11.31,2013
3206,KAB. TASIKMALAYA,11.57,2013
3273,KOTA BANDUNG,4.78,2013
3279,KOTA BANJAR,7.11,2013
3275,KOTA BEKASI,5.33,2013
3271,KOTA BOGOR,8.19,2013
3277,KOTA CIMAHI,5.63,2013
3274,KOTA CIREBON,10.54,2013
3276,KOTA DEPOK,2.32,2013
3272,KOTA SUKABUMI,8.05,2013
3278,KOTA TASIKMALAYA,17.19,2013
3204,KAB. BANDUNG,7.65,2014
3217,KAB. BANDUNG BARAT,12.26,2014
3216,KAB. BEKASI,4.97,2014
3201,KAB. BOGOR,8.91,2014
3207,KAB. CIAMIS,8.38,2014
3203,KAB. CIANJUR,11.47,2014
3209,KAB. CIREBON,14.22,2014
3205,KAB. GARUT,12.47,2014
3212,KAB. INDRAMAYU,14.29,2014
3215,KAB. KARAWANG,10.15,2014
3208,KAB. KUNINGAN,12.72,2014
3210,KAB. MAJALENGKA,13.42,2014
3218,KAB. PANGANDARAN,,2014
3214,KAB. PURWAKARTA,8.8,2014
3213,KAB. SUBANG,11.73,2014
3202,KAB. SUKABUMI,8.81,2014
3211,KAB. SUMEDANG,10.78,2014
3206,KAB. TASIKMALAYA,11.26,2014
3273,KOTA BANDUNG,4.65,2014
3279,KOTA BANJAR,6.95,2014
3275,KOTA BEKASI,5.25,2014
3271,KOTA BOGOR,7.74,2014
3277,KOTA CIMAHI,5.47,2014
3274,KOTA CIREBON,10.03,2014
3276,KOTA DEPOK,2.32,2014
3272,KOTA SUKABUMI,7.65,2014
3278,KOTA TASIKMALAYA,15.95,2014
3204,KAB. BANDUNG,8.0,2015
3217,KAB. BANDUNG BARAT,12.67,2015
3216,KAB. BEKASI,5.27,2015
3201,KAB. BOGOR,8.96,2015
3207,KAB. CIAMIS,8.98,2015
3203,KAB. CIANJUR,12.21,2015
3209,KAB. CIREBON,14.77,2015
3205,KAB. GARUT,12.81,2015
3212,KAB. INDRAMAYU,14.98,2015
3215,KAB. KARAWANG,10.37,2015
3208,KAB. KUNINGAN,13.97,2015
3210,KAB. MAJALENGKA,14.19,2015
3218,KAB. PANGANDARAN,10.76,2015
3214,KAB. PURWAKARTA,9.14,2015
3213,KAB. SUBANG,12.27,2015
3202,KAB. SUKABUMI,8.96,2015
3211,KAB. SUMEDANG,11.36,2015
3206,KAB. TASIKMALAYA,11.99,2015
3273,KOTA BANDUNG,4.61,2015
3279,KOTA BANJAR,7.41,2015
3275,KOTA BEKASI,5.46,2015
3271,KOTA BOGOR,7.6,2015
3277,KOTA CIMAHI,5.84,2015
3274,KOTA CIREBON,10.36,2015
3276,KOTA DEPOK,2.4,2015
3272,KOTA SUKABUMI,8.79,2015
3278,KOTA TASIKMALAYA,16.28,2015
3204,KAB. BANDUNG,7.61,2016
3217,KAB. BANDUNG BARAT,11.71,2016
3216,KAB. BEKASI,4.92,2016
3201,KAB. BOGOR,8.83,2016
3207,KAB. CIAMIS,8.42,2016
3203,KAB. CIANJUR,11.62,2016
3209,KAB. CIREBON,13.49,2016
3205,KAB. GARUT,11.64,2016
3212,KAB. INDRAMAYU,13.95,2016
3215,KAB. KARAWANG,10.07,2016
3208,KAB. KUNINGAN,13.59,2016
3210,KAB. MAJALENGKA,12.85,2016
3218,KAB. PANGANDARAN,10.23,2016
3214,KAB. PURWAKARTA,8.98,2016
3213,KAB. SUBANG,11.05,2016
3202,KAB. SUKABUMI,8.13,2016
3211,KAB. SUMEDANG,10.57,2016
3206,KAB. TASIKMALAYA,11.24,2016
3273,KOTA BANDUNG,4.32,2016
3279,KOTA BANJAR,7.01,2016
3275,KOTA BEKASI,5.06,2016
3271,KOTA BOGOR,7.29,2016
3277,KOTA CIMAHI,5.92,2016
3274,KOTA CIREBON,9.73,2016
3276,KOTA DEPOK,2.34,2016
3272,KOTA SUKABUMI,8.59,2016
3278,KOTA TASIKMALAYA,15.6,2016
3204,KAB. BANDUNG,7.36,2017
3217,KAB. BANDUNG BARAT,11.49,2017
3216,KAB. BEKASI,4.73,2017
3201,KAB. BOGOR,8.57,2017
3207,KAB. CIAMIS,8.2,2017
3203,KAB. CIANJUR,11.41,2017
3209,KAB. CIREBON,12.97,2017
3205,KAB. GARUT,11.27,2017
3212,KAB. INDRAMAYU,13.67,2017
3215,KAB. KARAWANG,10.25,2017
3208,KAB. KUNINGAN,13.27,2017
3210,KAB. MAJALENGKA,12.6,2017
3218,KAB. PANGANDARAN,10.0,2017
3214,KAB. PURWAKARTA,9.06,2017
3213,KAB. SUBANG,10.77,2017
3202,KAB. SUKABUMI,8.04,2017
3211,KAB. SUMEDANG,10.53,2017
3206,KAB. TASIKMALAYA,10.84,2017
3273,KOTA BANDUNG,4.17,2017
3279,KOTA BANJAR,7.06,2017
3275,KOTA BEKASI,4.79,2017
3271,KOTA BOGOR,7.11,2017
3277,KOTA CIMAHI,5.76,2017
3274,KOTA CIREBON,9.66,2017
3276,KOTA DEPOK,2.34,2017
3272,KOTA SUKABUMI,8.48,2017
3278,KOTA TASIKMALAYA,14.8,2017
